stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
1.111,111,"Hospital de Bellvitge",41.344677,2.107242,,0,P.6660111,1
E.11101,,"Residència sanitària",41.344357,2.106669,,2,P.6660111,1
P.6660111,,"Hospital de Bellvitge",41.344677,2.107242,,1,,
1.112,112,"Bellvitge",41.350975,2.110917,,0,P.6660112,1
E.11201,,"Rambla de la Marina / Avda. Granvia",41.350895,2.111515,,2,P.6660112,1
E.11202,,"Rambla de la Marina / Merca 2",41.350751,2.110842,,2,P.6660112,2
E.11211,,"Rambla de la Marina / Trav. Industrial",41.35142,2.11094,,2,P.6660112,2
E.11212,,"Rambla de la Marina / Mercat Municipal",41.351237,2.110483,,2,P.6660112,2
P.6660112,,"Bellvitge",41.350975,2.110917,,1,,
1.113,113,"Av. Carrilet",41.358553,2.102632,,0,P.6660113,1
E.11301,,"Prat de la Riba",41.359401,2.102423,,2,P.6660113,2
E.11311,,"Avinguda Carrilet",41.358,2.102668,,2,P.6660113,1
P.6660113,,"Av. Carrilet",41.358553,2.102632,,1,,
1.114,114,"Rambla Just Oliveras",41.36409,2.099749,,0,P.6660114,1
E.11401,,"Avinguda Can Serra",41.364424,2.099884,,2,P.6660114,2
E.11402,,"Rambla Just Oliveras",41.363524,2.100018,,2,P.6660114,2
E.11403,,"Renfe",41.363994,2.100154,,2,P.6660114,1
P.6660114,,"Rambla Just Oliveras",41.36409,2.099749,,1,,
1.115,115,"Can Serra",41.367694,2.102758,,0,P.6660115,1
E.11501,,"Parc de les Planes",41.368062,2.103603,,2,P.6660115,2
E.11502,,"Avinguda Can Serra",41.367609,2.103393,,2,P.6660115,1
P.6660115,,"Can Serra",41.367694,2.102758,,1,,
1.116,116,"Florida",41.368316,2.110027,,0,P.6660116,1
E.11601,,"Avinguda Masnou",41.368472,2.11012,,2,P.6660116,1
E.11602,,"Blocs Florida",41.368178,2.110132,,2,P.6660116,2
P.6660116,,"Florida",41.368316,2.110027,,1,,
1.117,117,"Torrassa",41.368396,2.116594,,0,P.6660117,1
1.915,915,"Torrassa",41.368223,2.115756,,0,P.6660117,1
E.11711,,"Av. Catalunya",41.368587,2.116201,,2,P.6660117,1
E.11712,,"Rosalía de Castro",41.36809,2.116833,,2,P.6660117,2
